Shot,Club,Club_Name,Carry_Yards,Total_Yards,Roll_Yards,Ball_Speed_MPH,Club_Speed_MPH,Smash_Factor,Apex_Feet,Spin_Rate_RPM,Spin_Axis,Spin_Axis_Deg,Launch_Angle_Deg,Descent_Angle_Deg,Horiz_Angle_Deg,Face_Angle_Deg,Club_Path_Deg,Face_To_Path_Deg,Side_Carry_Yards,Side_Total_Yards,Offline_Yards,Offline_Direction,Proximity_Feet,Source,Angles_Note
91,Driver,Driver,251.8,276.2,24.4,160.1,108.9,1.47,86.1,2313,-10L,-10.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,-11.3,Left,N/A,session1,club_avg_from_angle_view
92,Driver,Driver,262.2,277.1,14.9,158.1,107.0,1.48,127.2,2591,-8L,-8.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,-9.4,Left,N/A,session1,club_avg_from_angle_view
93,Driver,Driver,251.3,263.0,11.7,152.1,106.6,1.43,142.7,2464,4R,4.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,4.5,Right,N/A,session1,club_avg_from_angle_view
94,Driver,Driver,239.3,268.0,28.7,155.1,111.8,1.39,77.4,2278,-15L,-15.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,-16.2,Left,N/A,session1,club_avg_from_angle_view
95,Driver,Driver,222.4,255.9,33.5,150.8,101.8,1.48,60.1,2208,-17L,-17.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,-17.0,Left,N/A,session1,club_avg_from_angle_view
96,Driver,Driver,251.2,271.2,20.0,156.5,111.4,1.41,100.1,2344,-7L,-7.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,-7.9,Left,N/A,session1,club_avg_from_angle_view
97,Driver,Driver,250.6,267.8,17.2,153.9,107.8,1.43,113.4,2376,-3L,-3.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,-3.4,Left,N/A,session1,club_avg_from_angle_view
98,Driver,Driver,261.5,277.5,16.0,159.4,111.2,1.43,121.9,2412,1R,1.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,1.2,Right,N/A,session1,club_avg_from_angle_view
99,Driver,Driver,264.0,280.1,16.1,160.9,112.0,1.44,122.0,2416,1R,1.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,1.2,Right,N/A,session1,club_avg_from_angle_view
100,Driver,Driver,248.0,266.2,18.2,154.6,110.5,1.4,98.5,2331,1R,1.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,1.1,Right,N/A,session1,club_avg_from_angle_view
14,Driver,Driver,255.3,271.2,15.9,158.0,109.5,1.42,120.8,2401,4R,4.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,4.6,Right,N/A,session2,club_avg_from_angle_view
15,Driver,Driver,250.7,270.8,20.1,156.4,111.3,1.41,99.6,2340,-8L,-8.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,-9.0,Left,N/A,session2,club_avg_from_angle_view
16,Driver,Driver,248.1,269.1,21.0,154.9,111.2,1.39,95.8,2327,1R,1.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,1.1,Right,N/A,session2,club_avg_from_angle_view
17,Driver,Driver,228.8,262.8,34.0,154.0,106.1,1.45,55.3,2199,-10L,-10.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,-10.3,Left,N/A,session2,club_avg_from_angle_view
18,Driver,Driver,244.1,270.9,26.8,157.3,108.9,1.44,78.2,2280,-11L,-11.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,-12.1,Left,N/A,session2,club_avg_from_angle_view
19,Driver,Driver,253.3,268.1,14.8,154.5,108.7,1.42,125.2,2421,-9L,-9.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,-10.3,Left,N/A,session2,club_avg_from_angle_view
20,Driver,Driver,240.1,261.6,21.5,151.8,109.3,1.39,82.6,2312,-13L,-13.0,17.1,42.8,0.5,-0.9,6.1,-7.0,-5.8,-7.5,-14.0,Left,N/A,session2,club_avg_from_angle_view
81,3W,3 Wood,191.3,224.7,33.4,132.0,100.1,1.32,54.2,2098,-5L,-5.0,,,,,,,,,-4.3,Left,N/A,session1,
82,3W,3 Wood,218.3,244.3,26.0,141.6,98.2,1.44,75.0,2219,-1L,-1.0,,,,,,,,,-1.0,Left,N/A,session1,
83,3W,3 Wood,202.7,236.9,34.2,139.4,99.5,1.4,55.3,2144,-12L,-12.0,,,,,,,,,-10.9,Left,N/A,session1,
84,3W,3 Wood,224.5,247.8,23.3,143.4,102.5,1.4,83.4,2255,-6L,-6.0,,,,,,,,,-6.1,Left,N/A,session1,
85,3W,3 Wood,215.4,237.5,22.1,137.8,99.8,1.38,84.7,2246,7R,7.0,,,,,,,,,6.8,Right,N/A,session1,
86,3W,3 Wood,218.7,254.4,35.7,149.3,104.3,1.43,55.0,2176,-11L,-11.0,,,,,,,,,-10.8,Left,N/A,session1,
87,3W,3 Wood,198.3,237.2,38.9,140.8,103.6,1.36,47.0,2115,-14L,-14.0,,,,,,,,,-12.5,Left,N/A,session1,
88,3W,3 Wood,217.7,245.5,27.8,142.4,101.6,1.4,70.8,2206,-3L,-3.0,,,,,,,,,-2.9,Left,N/A,session1,
89,3W,3 Wood,215.8,241.1,25.3,139.6,101.3,1.38,76.2,2213,-2L,-2.0,,,,,,,,,-1.9,Left,N/A,session1,
90,3W,3 Wood,232.4,255.3,22.9,147.5,102.8,1.44,86.5,2272,-1L,-1.0,,,,,,,,,-1.0,Left,N/A,session1,
101,Hybrid,Hybrid,196.6,214.8,18.2,125.1,95.2,1.31,91.1,2247,2R,2.0,,,,,,,,,1.8,Right,N/A,session1,
102,Hybrid,Hybrid,216.2,237.2,21.0,137.3,98.8,1.39,88.2,2265,-6L,-6.0,,,,,,,,,-5.8,Left,N/A,session1,
103,Hybrid,Hybrid,196.7,213.5,16.8,124.4,88.1,1.41,98.0,2271,5R,5.0,,,,,,,,,4.4,Right,N/A,session1,
104,Hybrid,Hybrid,194.0,212.6,18.6,124.1,92.0,1.35,88.7,2228,4R,4.0,,,,,,,,,3.5,Right,N/A,session1,
105,Hybrid,Hybrid,201.0,217.4,16.4,126.5,94.8,1.33,101.4,2288,-1L,-1.0,,,,,,,,,-0.9,Left,N/A,session1,
106,Hybrid,Hybrid,207.2,225.6,18.4,131.0,97.2,1.35,93.9,2265,-2L,-2.0,,,,,,,,,-1.9,Left,N/A,session1,
107,Hybrid,Hybrid,214.6,233.9,19.3,135.8,94.9,1.43,93.3,2274,5R,5.0,,,,,,,,,4.8,Right,N/A,session1,
108,Hybrid,Hybrid,191.9,208.3,16.4,121.3,97.1,1.25,105.9,2306,10R,10.0,,,,,,,,,8.6,Right,N/A,session1,
109,Hybrid,Hybrid,198.5,224.8,26.3,130.8,98.5,1.33,70.0,2164,2R,2.0,,,,,,,,,1.8,Right,N/A,session1,
110,Hybrid,Hybrid,198.8,215.1,16.3,125.4,95.5,1.31,104.9,2306,6R,6.0,,,,,,,,,5.4,Right,N/A,session1,
71,5i,5 Iron,174.6,191.6,17.0,122.5,83.7,1.46,73.2,5551,-18L,-18.0,,,,,,,,,-14.1,Left,N/A,session1,
72,5i,5 Iron,167.2,183.3,16.1,116.9,82.2,1.42,75.0,5832,-9L,-9.0,,,,,,,,,-6.8,Left,N/A,session1,
73,5i,5 Iron,195.1,206.5,11.4,131.7,91.6,1.44,105.2,5804,-3L,-3.0,,,,,,,,,-2.6,Left,N/A,session1,
74,5i,5 Iron,193.5,203.8,10.3,131.2,90.3,1.45,110.8,6117,-5L,-5.0,,,,,,,,,-4.4,Left,N/A,session1,
75,5i,5 Iron,189.3,201.7,12.4,128.8,89.6,1.44,96.6,6072,-3L,-3.0,,,,,,,,,-2.6,Left,N/A,session1,
76,5i,5 Iron,201.6,215.1,13.5,134.3,92.4,1.45,99.4,5174,-5L,-5.0,,,,,,,,,-4.5,Left,N/A,session1,
77,5i,5 Iron,179.6,191.3,11.7,123.9,88.8,1.4,96.2,6418,-8L,-8.0,,,,,,,,,-6.5,Left,N/A,session1,
78,5i,5 Iron,191.5,202.5,11.0,129.9,89.4,1.45,105.8,6075,1R,1.0,,,,,,,,,0.9,Right,N/A,session1,
79,5i,5 Iron,194.4,217.3,22.9,128.7,90.0,1.41,75.2,2649,-6L,-6.0,,,,,,,,,-5.2,Left,N/A,session1,
80,5i,5 Iron,198.3,211.6,13.3,133.9,92.2,1.45,88.2,5409,-11L,-11.0,,,,,,,,,-9.8,Left,N/A,session1,
14,5i,5 Iron,181.0,197.2,16.2,124.7,92.8,1.34,79.4,5535,-8L,-8.0,14.2,39.0,4.9,3.7,9.6,-5.9,9.2,9.2,9.2,Right,N/A,session2,per_shot
15,5i,5 Iron,187.6,202.3,14.7,128.1,91.8,1.4,86.6,5763,-5L,-5.0,14.3,40.7,3.6,2.6,7.4,-4.7,6.2,6.1,6.1,Right,N/A,session2,per_shot
16,5i,5 Iron,192.2,200.3,8.1,131.4,90.5,1.45,124.9,6735,0,0.0,18.4,48.7,7.7,7.2,9.4,-2.2,23.8,24.8,24.8,Right,N/A,session2,per_shot
17,5i,5 Iron,186.0,199.5,13.5,127.2,87.4,1.46,90.7,5940,-5L,-5.0,14.9,41.9,4.1,3.3,7.8,-4.3,9.2,9.4,9.4,Right,N/A,session2,per_shot
18,5i,5 Iron,191.3,204.0,12.7,130.0,91.0,1.43,97.4,5794,-7L,-7.0,15.2,43.0,4.8,3.6,8.4,-5.8,9.8,9.7,9.7,Right,N/A,session2,per_shot
19,5i,5 Iron,178.7,199.0,20.3,124.8,90.2,1.38,66.6,4956,-12L,-12.0,12.7,34.6,-0.8,-2.2,5.5,-7.7,-9.8,-12.6,-12.6,Left,N/A,session2,per_shot
20,5i,5 Iron,189.1,200.6,11.5,129.1,91.3,1.41,101.0,6186,-7L,-7.0,15.6,44.2,5.8,4.4,10.2,-5.8,9.4,9.4,9.4,Right,N/A,session2,per_shot
61,6i,6 Iron,185.4,202.4,17.0,127.4,91.7,1.39,76.8,5257,-6L,-6.0,,,,,,,,,-5.0,Left,N/A,session1,
62,6i,6 Iron,176.8,194.0,17.2,122.2,89.7,1.36,73.6,5395,-5L,-5.0,,,,,,,,,-4.0,Left,N/A,session1,
63,6i,6 Iron,177.1,189.0,11.9,122.4,88.7,1.38,94.5,6383,-8L,-8.0,,,,,,,,,-6.4,Left,N/A,session1,
64,6i,6 Iron,172.3,182.6,10.3,120.0,87.3,1.37,99.9,6909,1R,1.0,,,,,,,,,0.8,Right,N/A,session1,
65,6i,6 Iron,182.5,198.7,16.2,125.4,92.0,1.36,80.5,5510,-4L,-4.0,,,,,,,,,-3.3,Left,N/A,session1,
66,6i,6 Iron,181.4,192.7,11.3,124.8,85.4,1.46,99.1,6445,1R,1.0,,,,,,,,,0.8,Right,N/A,session1,
67,6i,6 Iron,191.9,207.1,15.2,130.4,89.8,1.45,87.1,5448,-9L,-9.0,,,,,,,,,-7.8,Left,N/A,session1,
68,6i,6 Iron,181.2,197.4,16.2,124.5,86.0,1.45,78.8,5480,-1L,-1.0,,,,,,,,,-0.8,Left,N/A,session1,
69,6i,6 Iron,178.6,190.4,11.8,122.9,89.7,1.37,95.2,6373,-1L,-1.0,,,,,,,,,-0.8,Left,N/A,session1,
70,6i,6 Iron,186.3,198.2,11.9,127.0,90.3,1.41,98.2,6182,1R,1.0,,,,,,,,,0.8,Right,N/A,session1,
1,6i,6 Iron,182.1,194.7,12.6,125.3,89.4,1.4,92.9,6193,-9L,-9.0,15.7,42.8,3.5,2.2,8.9,-6.7,3.0,2.4,2.4,Right,N/A,session2,per_shot
2,6i,6 Iron,181.7,193.8,12.1,125.4,85.9,1.46,94.7,6355,-12L,-12.0,16.1,43.4,2.5,0.8,9.2,-8.4,-3.7,-5.0,-5.0,Left,N/A,session2,per_shot
3,6i,6 Iron,182.4,193.8,11.4,126.3,91.1,1.39,74.8,5329,-13L,-13.0,13.5,37.4,0.3,-1.4,7.0,-8.4,-9.3,-11.7,-11.7,Left,N/A,session2,per_shot
4,6i,6 Iron,165.5,179.4,13.9,115.1,90.4,1.27,81.7,6183,-2L,-2.0,16.8,41.1,7.3,6.6,9.7,-3.1,18.4,19.8,19.8,Right,N/A,session2,per_shot
5,6i,6 Iron,159.9,181.4,21.5,114.0,91.3,1.25,58.5,4922,4R,4.0,13.8,33.3,4.1,4.1,4.3,-0.2,15.1,17.7,17.7,Right,N/A,session2,per_shot
6,6i,6 Iron,181.0,190.2,9.2,125.4,89.7,1.4,110.1,7006,-3L,-3.0,17.7,46.9,4.4,3.7,7.2,-3.5,12.2,12.6,12.6,Right,N/A,session2,per_shot
